GEOID,pop_pov,pov_rt
06029002100,3449,46.4
06029002200,5295,55.8
06029002301,10523,36.3
06029002302,3605,35.8
06029002400,8413,27.8
06029002500,9131,45
06029002600,3469,39.2
06029002700,6148,29.7
06029002804,2629,6.7
06029002806,1965,15.1
06029002807,3924,8.1
06029002808,7287,2.6
06029002811,3466,3.2
06029002812,5454,32.5
06029002813,4252,39.5
06029002814,4245,26.8
06029002815,4117,17.8
06029002816,6152,25.8
06029002817,5536,35.1
06029002818,3931,10.5
06029002819,4858,17.5
06029002820,6791,2.3
06029002821,4626,5.3
06029002900,7260,28.9
06029003000,7548,46.1
06029003103,3814,22.5
06029003112,5260,17.8
06029003113,5451,28.5
06029003114,7983,19.9
06029003115,5656,39.2
06029003121,8178,23.4
06029003122,7811,20
06029003123,18518,6.9
06029003124,5860,13.9
06029003202,17636,18.6
06029003203,2433,3
06029003204,9751,2
06029003205,10068,9.5
06029003206,17978,7.1
06029003303,1366,31.6
06029003304,2246,14
06029003305,3665,22.4
06029003306,4686,18.9
06029003400,4392,41.5
06029003500,7019,24.8
06029003600,4638,23.6
06029003700,3579,26.4
06029003803,6515,4.5
06029003804,16023,7.5
06029003805,9295,2.9
06029003806,5006,6.1
06029003807,3514,11.8
06029003808,4418,11
06029003809,12817,8.5
06029003810,2810,1.4
06029003811,2708,5.9
06029003812,4481,10.4
06029003813,8182,5.1
06029003900,834,13.7
06029004000,7826,20.2
06029004101,5160,21.7
06029004102,5425,35.4
06029004200,1325,33.7
06029004301,8389,22.5
06029004302,0,-
06029004401,7658,18.8
06029004402,4900,52.2
06029004500,3222,26.1
06029004601,0,-
06029004603,0,-
06029004604,11895,15.9
06029004701,9453,38.4
06029004702,3703,31.5
06029004800,10107,36.4
06029004901,5097,30.5
06029004902,8622,18.2
06029005003,3914,43.4
06029005004,7629,15.3
06029005103,2627,16.6
06029005104,3812,6.5
06029005201,4681,14.4
06029005203,4418,24.2
06029005204,6338,27.7
06029005300,1867,46.4
06029005401,6657,13.8
06029005402,4864,11.3
06029005403,8838,16.8
06029005404,6933,15.6
06029005501,6104,23.7
06029005506,5557,10.2
06029005507,6738,29.1
06029005508,4527,31.1
06029005600,2401,37.8
06029005700,2483,9.1
06029005801,6233,8.9
06029005802,9197,29.1
06029005900,3743,38.4
06029006002,0,-
06029006003,5675,16.6
06029006004,1618,26.8
06029006006,3817,6.4
06029006007,5472,10.3
06029006008,6039,8.8
06029006100,8355,20.2
06029006201,3037,25.6
06029006202,7947,21.1
06029006301,4113,22.2
06029006303,6102,30.7
06029006304,4271,38.7
06029006401,7898,36.1
06029006403,6491,34.8
06029006404,3159,45
06029006500,1968,14.5
06031000100,2973,15
06031000200,2298,12.4
06031000300,4808,9.5
06031000402,5811,15.9
06031000403,5240,20.3
06031000404,9904,9
06031000405,6845,17.3
06031000500,5143,17.2
06031000601,9880,11.2
06031000602,5213,9.1
06031000701,6086,8.9
06031000702,4055,9.8
06031000800,4675,26.6
06031000900,8401,31
06031001001,3879,11.3
06031001002,4505,27.3
06031001003,6431,20.7
06031001100,7093,30
06031001200,2435,7.5
06031001300,5162,38.4
06031001401,2759,35.2
06031001402,2375,47.2
06031001500,4569,29.2
06031001601,4409,32.8
06031001602,0,-
06031001701,9252,36.2
06031981800,0,-
06033000100,3302,16.4
06033000300,3593,16.3
06033000400,5337,16.8
06033000501,3371,30.4
06033000502,2376,32.7
06033000600,4037,23.7
06033000701,4084,31.6
06033000702,3799,38.9
06033000801,2854,43.5
06033000802,4364,31.2
06033000900,6672,16.2
06033001000,6014,23.2
06033001100,3202,19.5
06033001200,3315,9.4
06033001300,6781,12.4
06035040100,1333,15.6
06035040200,2688,12.2
06035040302,4108,6.3
06035040303,2444,18.6
06035040304,1421,37.4
06035040305,3229,17.8
06035040400,1215,20.7
06035040500,3245,10
06035040600,1867,12.1
06037101110,4462,13.5
06037101122,3056,3.1
06037101210,6043,36.2
06037101220,3340,15.7
06037101300,4238,10.6
06037101400,4089,8.6
06037102103,1838,6.5
06037102104,3449,11.3
06037102105,1956,16.9
06037102107,3733,16.8
